position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
1,9,3,0,0,2,0,2,5,0,0
11,93,43,23,0,6,2,6,11,0,0
1,25,15,0,0,4,2,0,0,0,0
6,60,34,4,0,8,0,4,7,0,0
1,37,10,0,0,0,0,0,1,0,0
12,61,35,4,0,6,0,5,0,0,0
6,6,4,0,0,2,0,0,2,0,0
9,15,14,0,0,2,0,1,8,0,0
3,87,45,41,0,0,2,7,1,0,0
4,19,15,4,0,0,0,1,0,0,0
9,119,36,8,0,7,0,4,13,0,0
12,81,27,2,0,6,2,5,4,0,0
1,51,12,0,0,4,0,4,1,0,0
8,36,19,14,0,2,0,3,11,0,0
11,85,51,14,0,0,0,2,5,0,0
11,85,29,7,0,0,0,2,2,0,0
1,32,6,0,0,2,2,1,3,0,0
3,7,0,0,0,0,0,0,14,0,0
1,52,29,3,0,4,0,8,0,0,0
13,38,21,7,0,6,0,2,15,0,0
11,23,12,0,0,0,0,0,14,0,0
3,60,19,47,0,0,0,21,3,0,0
4,38,29,11,0,0,0,0,0,0,0
7,5,3,0,0,0,0,0,16,0,0
3,36,15,14,3,1,0,5,0,0,0
3,50,14,31,0,0,0,11,0,0,0
4,28,17,9,0,0,0,0,13,0,0
11,77,29,8,0,2,0,2,0,0,0
6,49,20,0,0,6,0,2,0,0,0
11,11,8,10,0,0,0,3,2,0,0
1,15,9,0,0,2,0,0,2,0,0
1,6,1,0,0,0,0,0,4,0,0
1,48,11,0,0,4,0,1,0,0,0
4,18,9,1,0,0,0,1,0,0,0
7,4,2,0,0,0,0,0,17,0,0
7,28,10,0,0,0,0,4,7,0,0
13,12,7,0,0,0,0,0,2,0,0
4,16,7,0,0,0,0,0,1,0,0
12,35,24,0,0,4,0,0,0,0,0
1,53,14,4,0,4,0,6,8,0,0
1,1,0,0,0,0,0,0,12,0,0
1,6,3,0,0,0,0,0,12,0,0
7,10,9,0,0,0,0,0,1,0,0
13,14,5,0,0,0,0,0,1,0,0
10,2,2,0,0,0,0,0,12,0,0
9,7,4,0,0,0,0,0,17,0,0
11,3,0,0,0,0,0,0,12,0,0
1,7,1,0,0,0,0,0,0,0,0
7,13,2,0,0,0,0,2,2,0,0
11,1,2,0,0,0,0,0,2,0,0
1,3,1,0,0,0,0,0,6,0,0
3,29,27,3,0,0,3,6,11,0,0
11,8,6,0,0,0,0,0,5,0,0
7,25,12,0,0,0,0,0,1,0,0
13,19,8,4,0,0,0,0,8,0,0
