player_id,player_name,position,season,team,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season
00-0023750,Mario Williams,DE,2012,BUF,58,21,40,0,0,0,6,12
00-0023904,Garrett McIntyre,OLB,2012,NYJ,29,12,15,0,1,0,0,6
00-0023918,Jarrett Bush,CB,2012,GB,4,0,0,0,0,0,0,7
00-0023954,Stephen Bowen,DE,2012,WAS,11,23,7,0,0,0,0,0
00-0023998,Steve Gregory,SS,2012,NE,35,8,0,0,6,0,4,0
00-0024030,Tom Johnson,DT,2012,NO,25,11,8,0,0,0,0,9
00-0024058,John Chick,DE,2012,JAX,2,0,0,0,0,0,0,8
00-0024061,Tramon Williams,CB,2012,GB,55,11,0,0,4,0,0,0
00-0024102,Tony McDaniel,DT,2012,MIA,6,7,3,0,0,0,0,11
00-0024129,Blake Costanzo,OLB,2012,CHI,3,1,0,0,0,0,0,2
00-0024183,Brent Grimes,CB,2012,ATL,6,0,0,0,0,0,0,2
00-0024220,A.J. Hawk,OLB,2012,GB,84,52,12,0,1,0,0,0
00-0024222,Michael Huff,FS,2012,LV,36,24,0,0,4,0,0,10
00-0024223,Donte Whitner,SS,2012,SF,57,26,0,0,2,2,4,0
00-0024224,Ernie Sims,OLB,2012,DAL,27,17,2,0,0,0,0,2
00-0024227,Haloti Ngata,DT,2012,BAL,43,30,22,0,0,0,0,0
00-0024228,Kamerion Wimbley,OLB,2012,TEN,28,25,26,0,0,0,6,10
00-0024229,Brodrick Bunkley,NT,2012,NO,16,15,11,0,0,0,0,3
00-0024231,Jason Allen,CB,2012,CIN,1,1,0,0,0,0,0,4
00-0024232,Chad Greenway,OLB,2012,MIN,104,60,11,0,2,0,0,0
00-0024233,Bobby Carpenter,OLB,2012,NE,0,1,0,0,0,0,0,1
00-0024234,Antonio Cromartie,CB,2012,NYJ,32,6,0,0,6,2,0,1
00-0024235,Tamba Hali,OLB,2012,KC,75,12,35,0,0,0,4,16
00-0024237,Manny Lawson,OLB,2012,CIN,31,13,6,0,0,0,3,0
00-0024239,Johnathan Joseph,CB,2012,HOU,53,6,0,0,4,2,0,0
00-0024247,Mathias Kiwanuka,DE,2012,NYG,25,18,12,0,0,0,0,2
00-0024248,DeMeco Ryans,ILB,2012,PHI,98,34,5,0,2,0,1,6
00-0024249,D'Qwell Jackson,ILB,2012,CLE,72,62,14,0,5,2,4,2
00-0024250,Rocky McIntosh,OLB,2012,LA,38,9,4,0,2,0,0,3
00-0024253,Thomas Howard,OLB,2012,CIN,6,0,4,0,0,0,0,15
00-0024257,Danieal Manning,FS,2012,HOU,59,24,3,0,4,2,9,0
00-0024258,Roman Harper,SS,2012,NO,90,32,0,0,4,0,0,12
00-0024263,Cedric Griffin,CB,2012,WAS,24,11,0,0,1,0,2,0
00-0024269,Bernard Pollard,SS,2012,BAL,77,31,8,0,2,0,0,0
00-0024273,Richard Marshall,CB,2012,MIA,17,2,0,0,2,0,0,14
00-0024277,Tim Jennings,CB,2012,CHI,72,6,0,0,20,3,0,15
00-0024278,Darryl Tapp,DE,2012,PHI,11,8,3,0,0,0,0,5
00-0024303,James Anderson,OLB,2012,CAR,41,34,0,0,0,0,0,7
00-0024306,Frostee Rucker,DE,2012,CLE,41,20,15,0,0,0,4,7
00-0024307,Jason Hatcher,DE,2012,DAL,36,32,18,0,0,0,0,7
00-0024312,Eric Smith,SS,2012,NYJ,13,5,0,0,2,0,0,7
00-0024331,Stephen Tulloch,MLB,2012,DET,77,47,3,0,0,0,2,15
00-0024338,Domata Peko,DT,2012,CIN,24,40,10,0,0,0,0,0
00-0024339,Barry Cofield,NT,2012,WAS,27,28,13,0,3,0,4,0
00-0024341,Elvis Dumervil,DE,2012,DEN,57,30,42,5,2,3,22,0
00-0024342,Ray Edwards,DE,2012,ATL,9,4,0,0,1,0,0,5
00-0024348,Kyle Williams,DT,2012,BUF,40,29,22,0,0,0,0,11
00-0024349,Rob Ninkovich,DE,2012,NE,53,31,29,0,0,0,16,0
00-0024356,Brandon Johnson,OLB,2012,PIT,0,1,0,0,0,0,0,2
00-0024360,Dawan Landry,SS,2012,JAX,82,20,0,0,2,0,0,3
00-0024365,Tim Dobbins,LB,2012,HOU,29,11,0,0,3,0,0,16
00-0024372,Charlie Peprah,SS,2012,DAL,9,4,0,0,2,0,0,2
00-0024373,Mark Anderson,DE,2012,BUF,13,3,4,0,0,0,0,11
00-0024382,Omar Gaither,OLB,2012,LV,7,7,0,0,0,0,0,3
00-0024387,Reed Doughty,SS,2012,WAS,29,29,0,0,2,0,0,0
00-0024405,Jeremy Mincey,DE,2012,JAX,50,9,11,0,1,0,4,8
00-0024410,Kedric Golston,NT,2012,WAS,10,10,0,0,0,0,0,0
00-0024421,Antoine Bethea,S,2012,IND,82,25,8,0,0,0,0,0
00-0024422,Derrick Martin,SS,2012,NE,5,0,4,0,0,0,0,2
00-0024426,Fred Evans,DT,2012,MIN,24,9,8,0,0,0,0,0
00-0024429,Cortland Finnegan,CB,2012,LA,88,22,4,0,7,2,2,4
00-0024467,Dave Tollefson,DE,2012,LV,6,7,3,0,0,0,0,2
00-0024495,Ahmad Brooks,LB,2012,SF,51,23,27,0,2,2,4,0
00-0024517,Chris Wilson,OLB,2012,WAS,4,5,3,0,0,0,0,4
00-0024582,Justin Hickman,OLB,2012,IND,7,5,0,0,0,0,0,9
00-0024588,Marquice Cole,CB,2012,NE,15,2,0,0,2,0,0,0
00-0024692,Daniel Muir,DT,2012,NYJ,1,2,0,0,0,0,0,4
00-0024714,Edgar Jones,DE,2012,KC,2,1,0,0,0,0,0,6
00-0024734,Antwan Applewhite,OLB,2012,CAR,4,5,4,0,0,0,0,2
00-0024750,Nick Roach,MLB,2012,CHI,57,17,7,0,0,0,2,9
00-0024796,Craig Dahl,SS,2012,LA,57,17,0,0,2,0,0,1
00-0025393,LaRon Landry,FS,2012,NYJ,82,25,2,0,4,2,10,11
00-0025395,Jamaal Anderson,DE,2012,CIN,2,2,0,0,0,0,0,6
00-0025397,Amobi Okoye,DT,2012,CHI,14,4,4,0,0,0,2,1
00-0025398,Patrick Willis,ILB,2012,SF,90,42,3,0,4,0,4,0
00-0025400,Adam Carriker,DE,2012,WAS,1,0,0,0,0,0,0,1
00-0025401,Darrelle Revis,CB,2012,NYJ,9,3,0,0,2,0,2,5
00-0025402,Lawrence Timmons,OLB,2012,PIT,93,43,23,0,6,2,6,11
00-0025405,Leon Hall,CB,2012,CIN,25,15,0,0,4,2,0,0
00-0025406,Michael Griffin,FS,2012,TEN,60,34,4,0,8,0,4,7
00-0025407,Aaron Ross,CB,2012,JAX,37,10,0,0,0,0,0,1
00-0025408,Reggie Nelson,S,2012,CIN,61,35,4,0,6,0,5,0
00-0025411,Brandon Meriweather,FS,2012,WAS,6,4,0,0,2,0,0,2
00-0025412,Jon Beason,MLB,2012,CAR,15,14,0,0,2,0,1,8
00-0025413,Anthony Spencer,DE,2012,DAL,87,45,41,0,0,2,7,1
00-0025420,Alan Branch,DT,2012,SEA,19,15,4,0,0,0,1,0
00-0025421,Paul Posluszny,MLB,2012,JAX,119,36,8,0,7,0,4,13
00-0025424,Eric Weddle,S,2012,LAC,81,27,2,0,6,2,5,4
00-0025428,Chris Houston,CB,2012,DET,51,12,0,0,4,0,4,1
00-0025433,LaMarr Woodley,LB,2012,PIT,36,19,14,0,2,0,3,11
00-0025434,David Harris,OLB,2012,NYJ,85,51,14,0,0,0,2,5
00-0025435,Justin Durant,OLB,2012,DET,85,29,7,0,0,0,2,2
00-0025440,Eric Wright,CB,2012,TB,32,6,0,0,2,2,1,3
00-0025441,Turk McBride,DE,2012,NO,7,0,0,0,0,0,0,14
00-0025442,Josh Wilson,CB,2012,WAS,52,29,3,0,4,0,8,0
00-0025453,Usama Young,SS,2012,CLE,38,21,7,0,6,0,2,15
00-0025455,Quincy Black,OLB,2012,TB,23,12,0,0,0,0,0,14
00-0025470,Charles Johnson,DE,2012,CAR,60,19,47,0,0,0,21,3
00-0025472,Brandon Mebane,DT,2012,SEA,38,29,11,0,0,0,0,0
00-0025474,Stewart Bradley,ILB,2012,ARI,5,3,0,0,0,0,0,16
00-0025484,Ray McDonald,DE,2012,SF,36,15,14,3,1,0,5,0
00-0025489,Brian Robison,DE,2012,MIN,50,14,31,0,0,0,11,0
00-0025495,Paul Soliai,DT,2012,MIA,28,17,9,0,0,0,0,13
00-0025496,Stephen Nicholas,OLB,2012,ATL,77,29,8,0,2,0,2,0
00-0025513,Dashon Goldson,FS,2012,SF,49,20,0,0,6,0,2,0
00-0025521,Antwan Barnes,OLB,2012,LAC,11,8,10,0,0,0,3,2
00-0025527,Brandon McDonald,CB,2012,TB,15,9,0,0,2,0,0,2
00-0025532,David Jones,CB,2012,WAS,6,1,0,0,0,0,0,4
00-0025534,Tarell Brown,CB,2012,SF,48,11,0,0,4,0,1,0
00-0025539,Antonio Johnson,DT,2012,IND,18,9,1,0,0,0,1,0
00-0025548,Will Herring,ILB,2012,NO,4,2,0,0,0,0,0,17
00-0025551,Tim Shaw,ILB,2012,TEN,28,10,0,0,0,0,4,7
00-0025552,Eric Frampton,SS,2012,DAL,12,7,0,0,0,0,0,2
00-0025553,Derek Landri,DT,2012,PHI,16,7,0,0,0,0,0,1
00-0025555,Corey Graham,S,2012,BAL,35,24,0,0,4,0,0,0
00-0025557,William Gay,CB,2012,ARI,53,14,4,0,4,0,6,8
00-0025560,Michael Coe,CB,2012,DAL,1,0,0,0,0,0,0,12
00-0025560,Michael Coe,CB,2012,NYG,6,3,0,0,0,0,0,12
00-0025569,Adam Hayward,ILB,2012,TB,10,9,0,0,0,0,0,1
00-0025571,John Wendling,SS,2012,DET,14,5,0,0,0,0,0,1
00-0025574,Matt Toeaina,NT,2012,CHI,2,2,0,0,0,0,0,12
00-0025605,Zach Diles,MLB,2012,TEN,7,4,0,0,0,0,0,17
00-0025607,Marvin Mitchell,OLB,2012,MIN,3,0,0,0,0,0,0,12
00-0025624,Alan Ball,CB,2012,HOU,7,1,0,0,0,0,0,0
00-0025627,Brandon Siler,ILB,2012,KC,13,2,0,0,0,0,2,2
00-0025629,Keyunta Dawson,OLB,2012,TEN,1,2,0,0,0,0,0,2
00-0025668,Michael Adams,CB,2012,ARI,3,1,0,0,0,0,0,6
00-0025689,Mike Devito,DE,2012,NYJ,29,27,3,0,0,3,6,11
00-0025697,Jason Trusnik,OLB,2012,MIA,8,6,0,0,0,0,0,5
00-0025719,Akeem Jordan,ILB,2012,PHI,25,12,0,0,0,0,0,1
