Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,All-pro teams,Player-additional,Year
WR,Vincent Jackson,TAM,29,7,16,16,0,0,0,0,0,0,0,0,72,1384,8,1.0,0.0,0,PFF: 2nd Tm,JackVi00,2012
TE,Rob Gronkowski,NWE,23,2,11,11,0,0,0,0,0,0,0,0,55,790,11,0.0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm PFF: 1st Tm,GronRo00,2012
TE,Jason Witten,DAL,30,9,16,16,0,0,0,0,0,0,0,0,110,1039,3,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,WittJa00,2012
TE,Tony Gonzalez,ATL,36,15,16,16,0,0,0,0,0,0,0,0,93,930,8,0.0,0.0,0,AP: 1st Tm,GonzTo00,2012
T,Ryan Clady,DEN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,CladRy20,2012
T,Duane Brown,HOU,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,BrowDu20,2012
T,Joe Thomas,CLE,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm SN: 1st Tm,ThomJo28,2012
T,Joe Staley,SFO,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,StalJo20,2012
T,Russell Okung,SEA,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf.,OkunRu20,2012
LG,Evan Mathis,PHI,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFF: 1st Tm,MathEv20,2012
G,Mike Iupati,SFO,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,IupaMi20,2012
G,Marshal Yanda,BAL,28,5,14,14,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm,YandMa20,2012
G,Jahri Evans,NOR,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm SN: 1st Tm,EvanJa21,2012
G,Logan Mankins,NWE,30,7,10,10,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,MankLo20,2012
C,John Sullivan,MIN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm PFF: 1st Tm,SullJo24,2012
